,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
ITIL 4,,,,,,,
"O ITIL 4 é o padrão mundial para a gestão de serviços de Tecnologias de Informação, oferecendo um conjunto de 34 práticas.",,,,,,,
,,,,,,,
#,Código,Tipo,Dono do Processo,Prática / Processo (EN),Prática / Processo (PT),Modelo BPMN (PT),Descrição
1,arcmtb,General,,Architecture Management,Gestão da Arquitetura,,"Compreender os elementos de uma organização e como estão inter-relacionados. Envolve princípios, normas e ferramentas para gerir mudanças complexas de forma estruturada e ágil."
2,avmtb,Service Management,,Availability Management,Gestão de Disponibilidade,0502-00-igfej-gestao-disponibilidade,Garante que os serviços são entregues nos níveis de disponibilidade acordados para satisfazer as necessidades do utilizador.
3,batb,Service Management,,Business Analysis,Análise de Negócios,,"Análise do negócio ou qualquer um dos seus elementos. Ajuda a organização a trabalhar na definição das necessidades do negócio e a fornecer possíveis soluções. Com esta prática, uma organização pode resolver questões específicas de negócio de modo a facilitar uma melhor criação de valor na organização."
4,cpmtb,Service Management,,Capacity and Performance Management,Gestão de Capacidade e Desempenho,0820-00-igfej-gestao-da-capacidade-e-desempenho,Ajuda as organizações a garantir que os seus serviços atingem os níveis de desempenho esperados e acordados. Esta prática concentra-se em satisfazer a procura atual e futura de forma económica.
5,cmtb,Service Management,Responsável da equipa Gestão de Clientes e Serviços,Change Enablement,Gestão de Alterações,0700-00-igfej-gestao-alteracoes,"Ajuda as organizações a garantir uma avaliação de riscos adequada, autorização para a implementação de mudanças e uma gestão eficaz dos cronogramas de mudanças. Ajuda a maximizar o número de alterações de TI implementadas com sucesso."
6,citb,General,,Continual Improvement,Melhoria Contínua,,"Alinhamento das práticas e dos serviços de uma organização com as necessidades de negócio em constante mudança. Para isso, procura o apoio à identificação e melhoria contínua de serviços, componentes de serviços e outros elementos que fazem parte de uma gestão eficiente e eficaz de serviços e produtos."
7,dmtb,Technical Management,,Deployment Management,Gestão de Deployment,,"Define como fazer deploys de forma fácil, quer seja hardware, software, documentação, processos, etc., novos ou alterados, da produção para um ambiente ativo ou outros ambientes para teste ou preparação."
8,imtb,Service Management,Responsável da equipa Gestão de Clientes e Serviços,Incident Management,Gestão de Incidentes,0500-00-gestao-incidentes,Ajuda a limitar e controlar o impacto negativo dos incidentes que ocorrem na organização. Ajuda a restaurar as operações normais de serviço o mais rapidamente possível após a ocorrência de um incidente.
9,ismtb,General,,Information Security Management,Gestão de Segurança de Informação,,"Protege os dados e a informação compreendendo os riscos para a confidencialidade, integridade e disponibilidade. Faz a gestão desses riscos. Abrange outros aspetos da segurança da informação, como a autenticação e o não-repúdio."
10,ipmtb,Technical Management,,Infrastructure and Platform Management,Gestão de Infra-Estruturas e Plataformas,,"Ajuda a supervisionar todas as infraestruturas e plataformas, permitindo a monitorização eficaz das tecnologias implementadas internamente, bem como por fornecedores de serviços externos."
